review_id,review_date,exp_date,sent_count,review_month,exp_month,review_body,Aspects,Sentiments,Opinion_Words,review_likes,author_loc,author_country,author_name
Taj_NEU_16,25-Jan-19,Nov-18,18,January,November,"1 . The best time to visit Taj Mahal is in the winter season , between November to February . Taj Mahal opens at 6 am , so visit early to avoid the crowds . Go at the time of sunrise to discover its true beauty . It closes at 7 pm , and is closed on Friday . 2 . Wear colourful clothes , since Taj is all white , your pictures will come gorgeous against backdrop of white . 3 . Entry fee for foreigners is 1100 in cash , and 1050 cashless . For Indians , it is 50 Rs . in cash , and 45 Rs . cashless . Foreigner's ticket includes shoe covers , bottle of water , tourist map of Agra , and bus or golf cart service to the entry gate . 4 . Tickets can be purchased at ticket offices near the entry gates or online . 5 . Vehicles are not allowed within 500 meters of the Taj Mahal because of pollution . There are three entry gates - South , East , and West .",,,,15,"Toronto, Canada",Canada,NidhiRajput
Taj_NEU_17,20-Jan-19,Aug-18,1,January,August,"Amazing place , shows the grandeur of Indian civilization , but at the same time shows the incompetence of UP govt , this is one of the main tourist attraction but really wondered to see so much of muck at the entrance , seeing the daily turn out of tourists suitable arrangements should be made by the management to keep not only the monument but also the surroundings clean .",,,,164,"Ambala, India",India,Vikassadhotra
Taj_NEU_18,3-Jan-19,Dec-18,15,January,December,"This exclusive visit is only offered during the full-moon and a night or two either side , so as our visit coincided , we felt obligated to see the Taj Mahal at night . Oh dearBooking the visit is easier said than done as you have to buy the tickets directly from their booking office , the day before , with your passports , and wearing only prime colours ( ok - I added that bit ) . Our guide had all the requisite material so we were delighted to hear he would managed to book us on , although he would not be accompanying us ( for reasons that became apparent during our visit ) . We simply had to turn up , 30 minutes before , sit in a small waiting room with 20 or so others whilst our passports and tickets were inspected under microscope . We were then divested of phones , all electrical equipment and our wristwatches ( really - I did not add that bit leaving only a camera ( a phone camera is not allowed , even if its not connected ) . We were then put through security screening and directed towards a bus . At no time were we told what was going on , and the security guards surrounding us were carrying rifles . I do not recall hearing of anyone attempting to steal the Taj Mahal , and this is obviously why . We were ushered onto buses , again in silence , driven through another security check and finally escorted to the gate of the Taj Mahal , which was in thick fog and floodlit so nothing was visible and we were not entirely sure in which direction we were supposed to be facing . Suddenly , the floodlights went out and in a moment of drama , we looked round to see . nothing . The fog was so thick , and the palace so far away , that all we saw was a vague ( I mean vague ) outline which could have been anything , but having been told it was the Taj Mahal , we all nodded at the majestic blob in the fog . After spending twenty or so minutes pretending to be overwhelmed but in reality wondering if this was a case of the Emperors new suit , we returned to the bus in silence , comparing photos with the rest of the group to see who had the most impressive shot of , well , nothing . An American chap managed to get a shot of what looked like a snowman , but we later learned he would actually forgotten to remove his lens cap . We mentioned to our guide what an unpleasant and unfruitful visit wed had , and he seemed surprised we had expectations of anything else .",,,,55,"Elstree, United Kingdom",United Kingdom,GrumpyBugger
Taj_NEU_19,28-Dec-18,Dec-18,4,December,December,Smoggy view from viewpoint . Just too much pollution . They charge foreigners 300rs and local 25rs . Same with many other India monuments .,,,,4,"Singapore, Singapore",Singapore,Brwong
Taj_NEU_20,28-Dec-18,Dec-18,2,December,December,"Very impressive - how can you get so many people in one place , thank goodness that we went at sunrise and left as it was getting manic . Peering through the Delhi smog it is an impressive building but it really did not do it for me !",,,,268,United Kingdom,United Kingdom,BillB_10
Taj_NEU_21,22-Dec-18,Jun-18,2,December,June,taj is very beautiful so we enjoyed . but entryfee is 1000rs for foreigners but for india people is 50 rs .,,,,1,none,none,Traveler61669999239
Taj_NEU_22,19-Dec-18,Dec-18,3,December,December,"A wonderful experience that has to be done , but the pollution makes me worry for humanity . The pictures do not really show what it is like . We visited in December and from the entrance you can barely see it through the smog .",,,,3,"Almaty, Kazakhstan",Kazakhstan,phild441
Taj_NEU_23,18-Dec-18,Jan-18,1,December,January,"Taj Mahal is one of the world of wonder , so a place worth to see The place is usually crowded The outskirts of the Mahal can b managed more effectively .",outskirts,0,$,4,"Gurugram (Gurgaon), India",India,Saurabh S
Taj_NEU_24,5-Dec-18,Nov-18,6,December,November,You will not be alone ! We went early whether you are better going later in the day but just far to many people . you will not get within 20 ft of the bench Princess Diana sat on as everyone from around the world wants to sit there . From a distance it is very picturesque but get close & it is beginning to get a bit worn . They must be making a lot of money from visitors perhaps they should spend some more on it is up keep . A lot of restrictions on what you can take in so really just take your camera .,"$;people;""bench Princess Diana sat on"";""From a distance"",close;""money from visitors"",""up keep"";restrictions,camera","$;-1;0;1,-1;0,0;0,0","$;""far too many"";$;picturesque,""bit worn"";""lot of"";""lot of"",$",225,"Gosport, United Kingdom",United Kingdom,Wendy H
Taj_NEU_25,29-Nov-18,Nov-18,1,November,November,"much solution , even if they say it is fog , you can not get a quality photo , even today all use photoshop .",,,,1,none,none,Danirescar
Taj_NEU_26,29-Nov-18,Nov-18,4,November,November,"We had to view this property because the Taj Mahal is seen as the most important place in India for tourists to visit . However it is an expensive tour at $ 1000 rupees + 3000 for the guide + 6000 for the photos + the tuktuj there and back to see a huge crypt that took 22,000 labourers over 20 years to build . We went at 5.40 am to get tickets to avoid the huge crowds but the lines were still huge . A good history told by the guide tho .",,,,15,none,none,Traveler24148112071
Taj_NEU_27,25-Nov-18,Nov-18,7,November,November,"We visited as part of a tour so had the more expensive foreigner tickets which meant we could skip the main entry queue and got free shoe covers and a bottle of water . The buildings are very impressive but the area is very crowded which made it difficult to appreciate and there are people hassling you to buy photos and other trinkets . There also was not much information provided as you looked around and the attendants tried to rush us through the tomb - even though we could not move as it was so packed with people . Definitely worth a visit to see the buildings close up but do not expect any tranquility ! After our trip to the Taj at dusk , the following morning , we went to see it at sunrise from across the river . There was hardly anyone there and we got some great pics of the mist and the sun rising . I would recommend both to get a full experience .",,,,25,"London, United Kingdom",United Kingdom,VJJ1986
Taj_NEU_28,23-Nov-18,Nov-18,3,November,November,"I always like to take notes of places I visit . I got to security at the entrance to the Taj Mahal and was told no notebook While I accept that the local authorities are entitled to have whatever regulations in force that they deem appropriate , this one did seem a bit puzzling . My fuide did not seem to be aware of it either , luckily he was able to leave it with a friend who owned one of the nearby stalls , or I do not know if I would have got it backSo please , leave any paper on your coach or in your hotelWhile this did not spoli my visit , it certainly put a dampaner on it-hence the three star rating .",,,,80,"Glasgow, United Kingdom",United Kingdom,Ian M
Taj_NEU_29,15-Nov-18,Nov-18,3,November,November,"Visited last week with my boy but he hasnot impressed much . Rather irritated with the pollution and carefree agents and vendors . In short , it is okay place to visit with teen and kids .",,,,8,Maryland,USA,_shivaachrya
Taj_NEU_30,15-Nov-18,Nov-18,10,November,November,"Forget it . Taj Mahal is beautiful , from far , but not really interesting . it is islamic , so only marble inlays of Koran texts and flowers , no imagery or other interesting story telling . Moreover , Agra is a city of liars , beggars and cheaters . Skip it if you can , if you want to visit Taj Mahal , make sure you only do this and avoid interaction as much as possible . If not , rip-off is your bonus . By definition . Last but not least - the smell ! The smell ! Open sewers , rivers smell like hell , pollution all over , really , really terrible .",,,,3,none,none,Timotheus v
Taj_NEU_31,11-Nov-18,Nov-18,6,November,November,"We visited the Taj Mahal in November 2018 . It is truly amazing and you understand why it is one of the wonders of the world . However , it is very , very crowded . The queues to get in are very long with lots of pushing and shoving . We had a guide , which helped and was very informative but they should limit the amount of people going in per day . As we have seen it once we will not go back but we are glad we were able to visit it .","""Taj Mahal"";$;queues;guide,""people going in per day"";$","1;$;-1;1,-1;$","""truly amazing"";$;""very long"";informative,""limit the amount"";$",92,"Dubai, United Arab Emirates",United Arab Emirates,Vikki A
Taj_NEU_32,8-Nov-18,Nov-18,1,November,November,"1100INR for visiting this monuments , without beiing able to take photos is expensive , you can see it from the gardens for 300INR .",,,,12,"Nice, France",France,navarrais
Taj_NEU_33,3-Nov-18,Oct-18,14,November,October,"The great thing about this place . You can book tickets online and do not have to wait in a queue , unfortunately , many people are not aware of this and can have issues waiting in the queues . The place inside is great and we all liked it very much . Now for the truth about the other stuff . there are so many things you can not take inside , please check on their website . The surrounding area is a dump and we did not stay the night for that very reason . Nothing like Jaipur ! You are harassed by every single auto / electric car driver to take you to the Taj which is less than 1KM away from the entrance of the West gate carpark . Once you get to the main entrance you are harassed by guides . Seriously take a print out of the history and tell them you have your guide . The queue is not too bad and the security seems to be fine . No issues with them . However , you will get hassled by beggars , shopkeepers and many others including scammers . I would not visit again .",,,,12,"Leicester, United Kingdom",United Kingdom,Pb U
Taj_NEU_34,30-Oct-18,Jun-18,9,October,June,"Getting here is definitely out of the way and for me personally I just could not enjoy this wonder with all the so called Guides HOUNDING YOU to take a picture for $ or that you must let them guide you . I had to hire someone just to keep them away and say I have one and point . Even then you still dealt with it and my guide would not stop trying to take a zillion pictures . OK OK that was not horrible , but it was nonstop talking or trying to do pictures so I never got to leisurely stroll and soak it in . So it SUCKED quite frankly . My best time was outside the Taj Mahal on a boat and bicyle trip / tour I bought . The boat was just some fisherman's actual work one with a paddle , but it was early morning with beautiful lighting shining on the Taj . Just try to ignore the TONS and TONS of trash ! Such a pity this treasure is just surrounded by all that .",,,,17,none,none,advntrs1
Taj_NEU_35,29-Oct-18,Oct-18,11,October,October,"Its beautiful but process to get in can be a pain . Not super easy with smalll kids . Try to go at sunrise to avoid heat ( although its still really hot ) . And its always crowded . Worth seeing . Be prepared for long lines . Heat and . Huge crowds . Also practical advice for pics . - Wear bright colours no neutrals , browns , blacks , or whites . Try to get up front near the elevated pool for great shots .","Its,process;""small kids"";sunrise;$;$;lines;Heat,crowds;$;""elevated pool"",shots","1,-1;-1;0;$;$;-1,-1;$;1,1","beautiful,pain;""Not super easy"";""avoid heat"";$;$;long;$,huge;$;$,great",27,"Bengaluru, India",India,Indiatam
Taj_NEU_36,27-Oct-18,Aug-18,6,October,August,"Indeed its one of the wonders of the world , its really beautiful from its facade marble and its marvelous pillars . Its expensive for a tourist but not for the locals . There is currently rehabilitation of the structure but not enough i think . From your payment they provide you a bottle of water and shoe cover . Be careful of the on spot photographer / tourist guide and the shops surrounding the structures for souvenirs and indian cloth are expensive but you need to really bargain a lot . No candies or food with wrappers or food itself inside , if you happen to bring one eat then throw in trash bins before you go to security or else it will be left on the police / army securities .",,,,7,"Al Mawaleh South, Oman",None,daemir
Taj_NEU_37,19-Oct-18,Oct-18,1,October,October,We just finished seeing the Taj Mahal We just start at 5:30 am in the morning after prying alfajer prayer time The we visited the white jewelry of India There are bad smile near it And it was not so shiny as in picture .,,,,2,"Al Salt, Jordan",Jordan,drhusseinh
Taj_NEU_38,7-Oct-18,Oct-18,3,October,October,The story and all pictures in advertising & PR make this place legendary . But it does not meet my expectations . The building is there but lake & garden not at their best as in advertising .,,,,6,"Sofia, Bulgaria",Bulgaria,rastefanova
Taj_NEU_39,6-Oct-18,Aug-18,1,October,August,"Taj Mahal is one of the most beautiful place , but maintenance of taj mahal is not at the standard what is expected , they charge high price but do not know where all the money goes , need good care of this place , as this is one of the most precious .",,,,19,"Pune, India",India,sultana d
Taj_NEU_40,3-Oct-18,Mar-18,6,October,March,"One of the mainstay tours in Agra , India . actually this tour is a historic grave . if visiting during the weekend maybe you will find a long queue . then you will pass a rigorous examination . Entrance ticket prices are relatively expensive when compared to other similar tours . by buying an entrance ticket you will get mineral water and footwear .",,,,59,"Jakarta, Indonesia",Indonesia,Rudianto2912
Taj_NEU_41,27-Sep-18,Aug-18,5,September,August,"The Taj is checked off the bucket list and i doubt i will be back . It is definitely worth seeing but slightly disappointing . One thing that was good was how easy it was to get in . We were lead to believe we would be waiting in long ques to get in , but it was very smooth and we were in nice and quick . On a side note i would have to say Agra is the dirtiest City i have visited .","Taj,""bucket list"";""easy it was to get in"";queues;Agra","-1,-1;1;1;-1","""worth seeing"":""slightly disappointing"",""checked off"";$;long;""dirtiest City""",43,"Greater Melbourne, Australia",Australia,Andrew G
Taj_NEU_42,21-Sep-18,Aug-18,6,September,August,If you are considering the Taj night view do not waste your time because it is a waste of money and time . You can not see much even if the moon is full and bright . The security is rude and takes forever . Its actually funny to watch around 20 very unproductive security people screening tourists for a tour that is terrible at night . The Taj during the day is very much worth it . I highly recommend the day trip only !,"""Taj night view"";$;security;security;$;""day trip""",-1;$;-1;-1;$;1,$;$;rude;unproductive;$;recommend,16,"Miami, Florida",USA,DMBRUSA
Taj_NEU_43,13-Sep-18,Aug-18,8,September,August,If you have really high expectation for Taj Mahal then you could have serious disappointment . Yes its huge and has scenic beauty about it . All the arrangements are tourist friendly . Also there are option of public conveniences on chargeable basis . You will find lot of guides and people around ready to take you through historic train of Taj Mahal . Best time to visit could be early morning or late evening . Taj Mahal is closed on Friday . Taj Mahal is really close from Hotel Mansingh Place .,,,,0,"Noida, India",India,Maps748298
Taj_NEU_44,1-Sep-18,Aug-18,5,September,August,"1100 rupees entry fee for foreigners , 50 rupees for Indians which includes shoe covers and a bottle of water . Offensively huge price difference ! The ivory-white marble mausoleum is in beautiful condition but the guest house had an unpleasant smell . there is a small charge for bathroom use which is a rip-off . Without a doubt the Taj Mahal is one of the wonders of the world but we experienced way too much inconvenience - overpriced cabs , hotels and restaurants - just to take some pictures .","""entry fee for foreigners"",""shoe covers"",""bottle of water"";""price difference"";""marble mausoleum"",condition,""guest house"",smell;""charge for bathroom"";""Taj Mahal"",cabs,hotels,resturants","0,0,0;-1;1,1,-1,-1;-1;1,-1,-1,-1","$,$,$;""Offensively huge"";""ivory-white"",beautiful,$,unpleasant;small;$,overpriced,overpriced,overpriced",5,"London, United Kingdom",United Kingdom,RekaT5
Taj_NEU_45,29-Aug-18,Sep-17,1,August,September,"it is good to visit here , but in weekend it is very crowd , it is also very expensive for foreigner , there is not very good food around , you should come back to Delhi to eat , .",,,,17,"Istanbul, Turkey",Turkey,Hawkarhr
Taj_NEU_46,26-Aug-18,Sep-17,2,August,September,The Taj as you all know is one of the wonders of the world . It is quite old and there is also a fascinating story of how it was built and stuff .,,,,32,"Mumbai, India",India,SudarshanD57
Taj_NEU_47,26-Aug-18,Aug-18,6,August,August,"No trip to India is compete without visiting the Taj Mahal so we stayed in Agra for one night . The entrance fee is ridiculous at 1100 rupees and apparently we get a foreigner queue b / cos we pay more but it was full with local people pushing in . There are many many touts harassing you to buy this and buy that , take a ride on my rickshaw , and they do not understand a simple no . The Taj was obviously overcrowded and no one cares that its your turn to take a picture , people told me to get out of their way , its a dog eat dog in the Taj . Of course its just a mosque but it has developed a name for itself so everyone visits and its carnage . Tbh I was not amazed or blown away , but it was of course nice to see .",,,,159,"London, United Kingdom",United Kingdom,I_wander_asia
Taj_NEU_48,25-Aug-18,Aug-18,7,August,August,"The monument Taj Mahal is a masterpiece with perfect art on white marble . However , as a tourist expectation would be high whilst visiting specially these wonders of the world . Guides , souvenir sellers , tuk tuk drivers are to be managed well and stopped from bothering tourists . Cleanliness and maintenance of the whole site should be considered . Bagpack should be alllowed in to keep personal items . Transportation to Agra from Delhi should be made easy and accessible by tourist as some agents try to rip you off for anything . If you survive in India then you can survive anywhere in the worldIn overall , an amazing place to visit .",,,,1,none,none,Min C
Taj_NEU_49,9-Aug-18,Jul-18,8,August,July,It was very fantastic . The design of marbles and the flowery design beautiful . The flower is of natural stone colours and size in pattern small big and medium . Very attractive . The view and the river opposite the taj mahal too good . The guide had explained very well about the history of shah jahan and mumtaz . But one thing im disagreed as local people pay only 50 rupee and tourist pay 1000 rupee . Its a very big difference .,"It;""design of marbles"",""flowery design"";flower,""size in pattern"";$;view,""river opposite the taj mahal"";guide,""history of shah jahan and mumtaz"";""local people"",tourist;$","1;1,1;0,0;$;1,1;1,0;-1,-1;$","""very fantastic"";beautiful,beautiful;""natural stone colours"",""small big and medium"";$;""too good"",""too good"";$,$;$,$;$;",4,none,none,Meenakshi O
Taj_NEU_50,9-Aug-18,Aug-18,3,August,August,"We took a very good guide that without him we could miss a lot - the illusions of the towers , the love story , the architecture masterpiece of this impressive palace , the unique works with marbel etc . I highly recommend to take a guide . Of course the sunset created an enormous view .","guide,""illusions of the towers"",architecture,palace,""unique works with marbel"";guide;sunset,view","1,1,1,1,1;1;1,1","""very good"",""could miss a lot"",""could miss a lot"",""could miss a lot"",""could miss a lot"";""recommend to take"";""created enormous view"",enormous",4,none,none,××•×¨×™×ª ×¡
Taj_NEU_51,3-Aug-18,Jul-18,5,August,July,"The Taj Mahal of course is absolutely amazing . Easy to wander around the gardens for hours just looking at the incredible detail . The only thing that is a bit disappointing is how noisy it is inside . Although its supposed to be a sacred place and should be quiet , all you can hear is tourists yelling for their guides or talking to one another loudly . This ruined the experience for me .",,,,10,"Braintree, United Kingdom",United Kingdom,kayleighareeve
Taj_NEU_52,2-Aug-18,Jun-18,7,August,June,"Given the number of tourists that come to Taj each year , the overall state of its surroundings was very disappointing . Cars are not allowed anywhere close to the Taj ( great thing however the path driven by the electrical vehicles seemed unkept with rundown shops lining them . There were one or two smallish hotels , but nothing major . The infrastructure around it was really poor . The Taj in itself was a completely different issue . The majesty of the building is really something . The intricate carvings and inlay work , the phenomenal design effort is worth seeing .",,,,11,"Bothell, Washington",USA,rishisinha
Taj_NEU_53,23-Jul-18,May-18,20,July,May,"I have visited Taj for 5 times now , every visit shows me this will lose attraction soon . The marble is losing its colour due to population , people touching and breaking stuffs adds more misery to it . So hurry up and see it before it loses its charm . The place should be avoided in the summer as the whole premises heats up due to the stone , and there are not many shade to rest . Also there are lot of people due to the summer holidays in India . Buying ticket online only helps you to jump the ticket queue which is not a big enough problem . The security check takes a lot of time and you will end up standing in a queue in the hot sun for an hour and half . Renovation is under process and it is expected to continue till Oct 2019 . When I visited the front minarets and the entrance gates were being worked on . Even the garden was being redone . The fountains are kept off and there is no water in the fountain tanks . Buy shoe covers from outside vendors and please dispose them in dustbins after use , do not through them along the way or in the garden . If you do not want to buy them there is a place where you can leave your shoe before entering the main mahal . You do not have to take the battery vehicles you can walk it down . Also do not fall for the one who says they will explain things on the way and charge you 60 to 100 Rs . Its barely a minute ride , you can share it at 10 Rs per person . They also convince you to go to the local shops so that they get commission from the shopkeepers . Do this after visiting the Mahal . Backpacks and other hang luggage ( except ladies handbags and camera bags ) has to be kept in the cloak room outside . So do not carry valuables within them .",,,,4,Mumbai,India,Sunand S
Taj_NEU_54,17-Jul-18,Jul-18,5,July,July,"I visited as part of a school trip , obviously you do not travel to India and not see the Taj Mahal ! I was a little disappointed at the amount of waste plastic generated after travelling through parts of India and seeing the incredible lack of waste disposal , each person in our 21 strong group were issued with a 300ml plastic water bottle as we were not allowed to take in our re-fillables , we all got shoe covers too ( also disposable ) and our guide took us into the complexAs we had arrived early morning there were fewer people around and we were given information about the construction and symmetry of everything . It is beautiful and impressive , but at the same time it did not have any use - so was not as interesting to me as the fort where you are told about the lives of the people who used it , this is essentially an enormous if pretty headstone ( and I could not help thinking a huge waste of money by the powers of the time ) ! We got told off for not taking simple photographs - it was very difficult later on to get group photos and there are queues for the famous Diana bench etc - be prepared ! Unmissable but for me a little underwhelming .",,,,42,none,none,Peanutswede
Taj_NEU_55,13-Jul-18,May-18,3,July,May,Agra is a very famous place where we can see monument of mugal emperor . The stone realy use in Taj is very special which become very cold in Summer season . Taj is around 400 yrs old building but it is surprise for us how this is design .,,,,1,none,none,sushilt151
Taj_NEU_56,9-Jul-18,Jul-18,2,July,July,"Beautiful place , but too distant from the closest airport , that is located in New Delhi . The traffic is chaotic and the temperature of the city is very high .",,,,0,none,none,Sightsee746402
Taj_NEU_57,6-Jul-18,Aug-17,1,July,August,"May be the time we visited was wrong as huge rush was there and it was very hot , long queues , heat played spoil sort , Though architecture is beautiful but nothing much to see inside , may be in good weather you can enjoy more , Outside garden and park area is more beautiful al .",,,,16,none,none,Sheetal C
Taj_NEU_58,4-Jul-18,Feb-18,1,July,February,"If you want to have great pictures , you have to be there the earliest and for you to see the majestic sunset too .",,,,4,"Dollard-des-Ormeaux, Canada",Canada,benjo1219
Taj_NEU_59,27-Jun-18,Dec-17,7,June,December,"Undoubtedly a beautiful architectural marvel but the town of Agra leaves a lot to be desired . Female travelers beware , keep your eyes open and fine tune your senses . Dress modestly and try to fit in . Do not arrive here as your first destination in India . Be aware , be careful , be safe . The Taj Mahal itself is a majestic marble masterpiece on the riverbank . Perhaps stick to admiring it from the gardens as a walk around the inside leaves a lot to be desired .",,,,6,"Katherine, Australia",Australia,aidaiablaze
Taj_NEU_60,20-Jun-18,Jul-17,2,June,July,"While the Taj Mahal is an iconic monument , the civic administration also needs to gear up to receive the huge tourist inflow to this wonder of the world . Unfortunately the surrounding areas cleanliness is well below expectation .",,,,6,"New Delhi, India",India,AJAYWADHWA
Taj_NEU_61,19-Jun-18,Jun-18,7,June,June,"The Taj Mahal is a magnificent and one the most recognizable examples of Mughal architecture . Its image is self evident . However , I was disappointed with level of up keep and maintenance . The government of India should do better inmaintaining this national treasure . Also , people who claim to be guides or say they work within the grounds constantly annoy and hound visitors and finally request money . These people , if they do indeed work for the government should wear uniforms , they obviously are freelancing for tips , its a big turnoff and annoying . Just the same , its a magnificent structureAnd I recommend everyone to see it once in there life .",,,,19,"Bangkok, Thailand",Thailand,164export
